# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  215,20151116,  228,   69,   70,   90,    4,   40,   17,  160,    6,  127,  113,   24,  138,    2,  109,   24,    0,    0,  110,   18,   20,    9,   14,10100,10115,    1,10082,   24,   57,    9,   75,    6,    8,   85,   94,   13,   75,    2,    2
  215,20151117,  233,   77,   81,  140,   24,   20,    1,  260,   23,  135,  108,    1,  153,   19,  106,    6,    0,    0,  169,  101,  248,   61,    1,10033,10076,    1, 9996,   21,   29,   10,   65,    4,    8,   90,   98,    1,   68,   24,    3
  215,20151118,  247,  100,  108,  150,    1,   60,    9,  250,    1,  130,  111,    7,  143,    1,   99,   12,   23,   26,  341,   16,   43,   40,   19,10098,10139,    8,10036,    1,   50,   18,   75,    6,    7,   75,   91,   19,   66,    2,    5
  215,20151119,  258,   83,   85,  110,    2,   50,   17,  210,    2,  113,   86,   17,  136,    2,   82,   18,    0,    0,  124,   36,   59,   24,   15,10104,10126,   10,10080,    1,   56,   19,   75,   21,    8,   79,   94,   19,   70,    6,    2
  215,20151120,  281,   74,   75,  100,   23,   60,   19,  170,   20,   87,   65,   20,  108,    1,   54,   24,    8,    9,  187,    7,    7,    4,   22,10037,10100,    2, 9965,   24,   70,   20,   82,    6,    8,   69,   81,   20,   64,    6,    3
  215,20151121,  338,   32,   61,  100,   14,   20,    9,  180,   14,   56,   20,   24,   82,   12,   13,   24,   34,   40,  324,   72,  151,   40,    5, 9977,10049,   24, 9914,    8,   58,    5,   80,    2,    6,   83,   93,    5,   68,    2,    4
  215,20151122,    2,   13,   30,   60,    5,   20,   10,  170,   15,   34,   -2,   22,   61,   14,  -13,   24,   17,   20,  241,   29,   82,   31,   15,10108,10184,   24,10049,    1,   65,    8,   75,    1,    6,   84,   94,    9,   73,    5,    3
  215,20151123,  215,   27,   35,   70,   23,   10,    6,  110,   24,   40,  -17,    8,   85,   12,  -33,   12,   46,   55,  431,    2,    5,    5,   16,10222,10238,   10,10189,    1,   65,    6,   80,   12,    5,   82,   97,    7,   66,   12,    5
  215,20151124,  206,   67,   71,  110,   12,   30,   22,  170,   12,   54,   37,    8,   88,   24,   34,   12,    0,    0,   45,  151,  118,   14,   11,10109,10195,    1,10048,   24,   37,   13,   75,    2,    8,   91,   98,   17,   74,    2,    1
  215,20151125,  320,   46,   52,   70,   19,   40,    8,  160,   16,   73,   50,   21,   91,   10,   39,   24,   29,   35,  278,   32,   43,   13,   12,10067,10119,   24,10042,    4,   61,   12,   75,    3,    6,   81,   91,    7,   75,   11,    4
  215,20151126,  222,   11,   20,   30,    1,   10,    3,   70,    2,   52,   13,    8,  102,   14,    5,    6,   55,   66,  436,   14,    8,    2,    4,10179,10210,   20,10120,    1,   50,    8,   80,   12,    4,   88,   98,    6,   69,   12,    6
  215,20151127,  192,   58,   58,   90,   24,   30,    1,  130,   20,   60,   35,    3,   73,   12,   25,    6,    0,    0,  111,   50,   18,    7,   24,10119,10196,    1,10030,   24,   21,   15,   70,    1,    8,   92,   95,   14,   89,    1,    1
  215,20151128,  248,   67,   88,  110,   19,   70,    1,  200,   22,   73,   57,    1,   91,   24,   52,   12,   43,   52,  345,  106,  153,   29,    1,10086,10124,   11,10032,    1,   44,    1,   78,   13,    6,   79,   95,    1,   62,   10,    5
  215,20151129,  250,   96,  102,  140,   18,   80,    1,  230,   15,  108,   87,    1,  126,   18,   82,    6,    0,    0,   79,   47,   90,   46,   19,10061,10117,   24,10036,   17,   50,   18,   70,   24,    8,   78,   92,    1,   63,   24,    1
  215,20151130,  259,   82,   92,  120,    1,   40,   10,  210,   17,   97,   71,   11,  124,   20,   66,   12,    0,    0,   60,  110,  144,   22,   16,10133,10173,    7,10087,   16,   34,   15,   80,    7,    8,   79,   97,   12,   55,    8,    1
  215,20151201,  243,   43,   50,   90,   21,   10,    7,  150,   23,  103,   70,    7,  130,   20,   65,    6,    8,   10,  115,   29,    7,    2,   10,10221,10245,   24,10176,    1,   28,   10,   75,    4,    8,   85,   97,   11,   70,   24,    2
  215,20151202,  215,   62,   63,   70,    1,   50,    3,  130,    1,  110,   94,   21,  123,    1,   85,   24,    0,    0,  131,    0,   -1,   -1,    1,10247,10255,   23,10241,   14,   68,    4,   80,   14,    8,   75,   86,    4,   69,    2,    2
  215,20151203,  191,   63,   64,   90,   24,   50,   13,  150,   24,   99,   89,   23,  110,   14,   83,   24,    0,    0,  175,    0,   -1,   -1,    1,10230,10261,    9,10155,   24,   68,    8,   75,    1,    8,   79,   84,    8,   71,   18,    3
  215,20151204,  235,   67,   77,   90,    1,   60,   17,  150,    1,   97,   85,    8,  110,   13,   73,   12,   66,   83,  402,   44,   62,   20,    3,10243,10286,   19,10150,    1,   57,    4,   75,    9,    4,   82,   94,    4,   73,   10,    6
